cluster,feature,raw_median,raw_q1,raw_q3,raw_iqr,citywide_percentile_of_cluster_median,pct_deviation_from_50
5,distance_to_nearest_metrobus_m,7464.045625496696,3161.64171205044,14672.323576734778,11510.681864684339,22.8,27.2
6,distance_to_nearest_metrobus_m,16130.610891243097,9721.54184402109,21982.414181546388,12260.872337525298,40.7,9.3
0,distance_to_nearest_transit_m,485.800413908976,202.7088483030343,1593.2107187927493,1390.501870489715,14.7,35.3
1,distance_to_nearest_transit_m,382.0329877113659,206.60984912648263,668.0615936497738,461.4517445232912,11.9,38.1
2,distance_to_nearest_transit_m,318.71620586529605,157.10492557870293,654.4808885024775,497.3759629237745,10.1,39.9
3,distance_to_nearest_transit_m,304.4223492805241,152.07481359005993,692.8706671411916,540.7958535511316,9.6,40.4
4,distance_to_nearest_transit_m,36904.710952894486,26307.73385209062,46078.15704428217,19770.42319219155,82.5,32.5
5,distance_to_nearest_transit_m,854.2076248310441,297.8298877866944,4034.36446833841,3736.5345805517154,22.1,27.9
6,distance_to_nearest_transit_m,3995.795252377972,1299.6003174417579,13848.146346229936,12548.546028788178,45.2,4.8
0,transit_stops_within_500m,1.0,0.0,5.0,5.0,86.5,36.5
1,transit_stops_within_500m,1.0,0.0,5.0,5.0,86.5,36.5
2,transit_stops_within_500m,3.0,0.0,8.0,8.0,91.2,41.2
3,transit_stops_within_500m,3.0,0.0,8.0,8.0,91.2,41.2
4,transit_stops_within_500m,0.0,0.0,0.0,0.0,42.5,7.5
5,transit_stops_within_500m,0.0,0.0,3.0,3.0,42.5,7.5
6,transit_stops_within_500m,0.0,0.0,0.0,0.0,42.5,7.5
0,transit_stops_within_1000m,6.0,0.0,22.0,22.0,86.7,36.7
1,transit_stops_within_1000m,5.0,2.0,19.0,17.0,85.5,35.5
2,transit_stops_within_1000m,14.0,2.0,30.0,28.0,92.0,42.0
3,transit_stops_within_1000m,15.0,2.0,28.0,26.0,92.5,42.5
4,transit_stops_within_1000m,0.0,0.0,0.0,0.0,37.7,12.3
5,transit_stops_within_1000m,1.0,0.0,11.0,11.0,76.9,26.9
6,transit_stops_within_1000m,0.0,0.0,0.0,0.0,37.7,12.3
0,fixed_guideway_stations_within_1000m,0.0,0.0,0.0,0.0,46.8,3.2
1,fixed_guideway_stations_within_1000m,1.0,0.0,3.0,3.0,95.2,45.2
2,fixed_guideway_stations_within_1000m,1.0,0.0,2.0,2.0,95.2,45.2
3,fixed_guideway_stations_within_1000m,0.0,0.0,1.0,1.0,46.8,3.2
